Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2025-10-15,241.0,241.0,236.2,236.2,60000.0,0.0,242.0,231.5,221.3,63.86861313868612,5.436495109536338,1.90010075574101,14.40509169240747,0.0,Neutral
2025-09-21,245.9,245.9,245.9,245.9,25000.0,0.0,238.95999999999998,229.98000000000002,219.49,83.1946755407654,5.457114069032286,1.0160021672921777,14.653842878614167,0.0,Neutral
2025-08-20,250.9,250.9,250.9,250.9,164000.0,0.0,233.98000000000002,227.49,217.64499999999998,91.65302782324059,4.416418790875696,-0.09427580814284942,13.734825970664662,0.0,Neutral
2025-08-13,256.0,256.0,256.0,256.0,5000.0,0.0,228.0,224.5,215.55,100.0,2.514783453434063,-1.2219494578974857,11.067971810589327,0.0,Neutral
2025-04-10,221.0,221.0,221.0,221.0,70000.0,0.0,221.0,221.0,213.2,100.0,-0.4682461365868562,-2.156132685730373,0.0,0.0,Neutral
2025-04-02,221.0,221.0,221.0,221.0,52809.0,0.0,221.0,221.0,212.6,100.0,-0.7052294149541183,-2.5781043230162517,0.0,0.0,Neutral
2025-03-26,221.0,221.0,221.0,221.0,22500.0,0.0,221.0,219.5,212.0,100.0,-0.9974483714890141,-3.046323050031785,4.743416490252675,0.0,Neutral
2025-03-17,221.0,221.0,221.0,221.0,5000.0,0.0,221.0,217.4,212.8,70.0,-1.3559176815173544,-3.5585417196674776,7.720103626247572,0.0,Neutral
2025-03-16,221.0,221.0,221.0,221.0,50000.0,0.0,221.0,215.3,213.6,70.0,-1.7937324345859906,-4.109197729205008,9.322016949137177,0.0,Neutral
2025-02-04,221.0,221.0,221.0,221.0,5000.0,0.0,221.0,213.2,214.4,70.0,-2.3264526112723445,-4.688064052859763,10.217631819555876,0.0,Neutral
2025-01-22,221.0,221.0,221.0,221.0,25000.0,0.0,221.0,211.1,215.2,70.0,-2.9725579624426075,-5.278466913256617,10.587728746053173,0.0,Neutral
2025-01-05,221.0,221.0,221.0,221.0,124000.0,0.0,218.0,209.0,216.0,70.0,-3.7539861312098424,-5.85494415096012,10.488088481701547,0.0,Neutral
2024-12-29,221.0,221.0,221.0,221.0,8200.0,0.0,213.8,207.8,216.8,36.206896551724135,-4.696769195618771,-6.380183655897688,9.612491872558367,0.0,Neutral
2024-12-17,221.0,221.0,221.0,221.0,2500.0,0.0,209.6,206.6,217.6,36.206896551724135,-5.8317865731644645,-6.8010372709674165,8.461678320522509,0.0,Neutral
2024-12-01,221.0,221.0,221.0,221.0,25000.0,0.0,205.4,205.4,218.4,36.206896551724135,-7.195655493985868,-7.0433499454181545,6.899275324264181,0.0,Neutral
2024-10-02,206.0,206.0,206.0,206.0,20451.0,0.0,201.2,204.2,219.2,13.95348837209302,-8.831784109376287,-7.005273558276225,4.5166359162545575,0.0,Neutral
2024-07-28,200.0,200.0,200.0,200.0,30788.0,0.0,200.0,204.5,220.75,0.0,-9.264344136883665,-6.548645920501209,4.743416490252635,0.0,Neutral
2024-07-11,200.0,200.0,200.0,200.0,100000.0,0.0,201.8,208.2,222.6,0.0,-9.070784839093022,-5.869721366405594,11.063453348751485,0.0,Neutral
2024-07-10,200.0,200.0,200.0,200.0,8224.0,0.0,203.6,211.9,224.45,0.0,-8.691794101344328,-5.0694554982337365,13.851995443898254,0.0,Neutral
2024-07-07,200.0,200.0,200.0,200.0,28000.0,0.0,205.4,215.6,226.3,0.0,-8.081638009143688,-4.163870847456088,15.19649082299375,0.0,Neutral
2024-03-19,200.0,200.0,200.0,200.0,10000.0,0.0,207.2,219.3,228.15,0.0,-7.185305862238238,-3.184429057034187,15.477941292906706,0.0,Neutral
2024-01-09,209.0,209.0,209.0,209.0,94114.0,0.0,209.0,223.0,230.0,0.0,-5.936746564010008,-2.184209855733174,14.75729574745243,0.0,Neutral
2023-12-18,209.0,209.0,209.0,209.0,45000.0,0.0,214.6,225.8,231.4,0.0,-5.173141836976754,-1.2460756786639657,14.459137825841019,0.0,Neutral
2023-12-11,209.0,209.0,209.0,209.0,40000.0,0.0,220.2,228.6,232.8,0.0,-4.123258831389194,-0.26430913908576836,13.52528496311014,0.0,Neutral
2023-11-29,209.0,209.0,209.0,209.0,161750.0,0.0,225.8,231.4,234.2,0.0,-2.723251666709956,0.7004282839900879,11.805836597961948,0.0,Neutral
2023-11-22,209.0,209.0,209.0,209.0,250000.0,0.0,231.4,234.2,235.6,0.0,-0.8967224977307922,1.556348271665099,8.85437744847146,0.0,Neutral
2023-07-12,237.0,237.0,237.0,237.0,55000.0,0.0,237.0,237.0,237.0,,1.4476361506422961,2.1696159640140715,0.0,0.0,Neutral
2023-07-02,237.0,237.0,237.0,237.0,6500.0,0.0,237.0,237.0,237.0,,1.5679246632836623,2.350110917357015,0.0,0.0,Neutral
2023-05-15,237.0,237.0,237.0,237.0,50000.0,0.0,237.0,237.0,237.0,,1.6986503697709168,2.545657480875353,0.0,0.0,Neutral
2023-04-25,237.0,237.0,237.0,237.0,55000.0,0.0,237.0,237.0,237.0,,1.840796266127029,2.757409258651462,0.0,0.0,Neutral
2023-04-12,237.0,237.0,237.0,237.0,7000.0,0.0,237.0,237.0,237.0,,1.9954509008779269,2.98656250678257,0.0,0.0,Neutral
2023-04-09,237.0,237.0,237.0,237.0,40000.0,0.0,237.0,237.0,237.0,,2.1638217124926484,3.2343404082587304,0.0,0.0,Neutral
2023-03-29,237.0,237.0,237.0,237.0,3000.0,0.0,237.0,237.0,237.0,,2.3472503234991677,3.5019700822002506,0.0,0.0,Neutral
2023-03-26,237.0,237.0,237.0,237.0,5000.0,0.0,237.0,237.0,238.9,,2.547230109569341,3.7906500218755212,0.0,0.0,Neutral
2023-03-23,237.0,237.0,237.0,237.0,58500.0,0.0,237.0,237.0,241.05,,2.7654264167415477,4.101504999952066,0.0,0.0,Neutral
2023-02-28,237.0,237.0,237.0,237.0,5000.0,0.0,237.0,237.0,240.8,,3.003699864561412,4.435524645754696,0.0,0.0,Neutral
2023-01-23,237.0,237.0,237.0,237.0,15000.0,0.0,237.0,237.0,240.525,,3.264133249021569,4.793480841053016,0.0,0.0,Neutral
