Date,Headline,Link
2025-12-09,IPO shares of SY Panel Nepal Limited Listed in NEPSE; What is the Opening Ranges?,https://www.sharesansar.com/newsdetail/ipo-shares-of-sy-panel-nepal-limited-listed-in-nepse-what-is-the-opening-ranges-2025-12-09
2025-11-16,"SY Panel Nepal Limited IPO Allotment Concludes: Lucky 4,07,615 Applicants Allotted 10 Units Each via Lottery System",https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-ipo-allotment-concludes-lucky-407615-applicants-allotted-10-units-each-via-lottery-system-2025-11-16
2025-11-09,IPO Issue of SY Panel Nepal Limited Closing Today; Oversubscribed 4.80 Times So Far,https://www.sharesansar.com/newsdetail/ipo-issue-of-sy-panel-nepal-limited-closing-today-oversubscribed-480-times-so-far-2025-11-09
2025-11-05,"IPO for General Public: SY Panel Nepal Limited Company Issue 40,76,156 Units IPO Shares from Today",https://www.sharesansar.com/newsdetail/ipo-for-general-public-sy-panel-nepal-limited-company-issue-4076156-units-ipo-shares-from-today-2025-11-05
2025-10-28,"IPO for General Public: SY Panel Nepal Limited to Issue 40,76,156 Units IPO Shares from Kartik 19",https://www.sharesansar.com/newsdetail/ipo-for-general-public-sy-panel-nepal-limited-to-issue-4076156-units-ipo-shares-from-kartik-19-2025-10-28
2025-10-07,SY Panel Nepal Limited Closing IPO Shares to Project-Affected Locals of Chitwan From Today,https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-closing-ipo-shares-to-project-affected-locals-of-chitwan-from-today-2025-10-07
2025-09-26,"SY Panel Nepal Limited Closing 4,97,092 Units IPO Shares to Foreign Nepalese Immigrants From Today",https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-closing-497092-units-ipo-shares-to-foreign-nepalese-immigrants-from-today-2025-09-26
2025-09-24,ICRA Nepal Upgrades SY Panel Nepal’s Issuer Rating to BB+,https://www.sharesansar.com/newsdetail/icra-nepal-upgrades-sy-panel-nepals-issuer-rating-to-bb-2025-09-24
2025-09-23,SY Panel Nepal Limited Opens IPO for Project-Affected Locals and Foreign Nepalese Immigrants From Today,https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-opens-ipo-for-project-affected-locals-and-foreign-nepalese-immigrants-from-today-2025-09-23
2025-09-18,SY Panel Nepal Announces Revised Share Issuance Date for Locals of Chitwan District And Nepalese Employed Abroad,https://www.sharesansar.com/newsdetail/sy-panel-nepal-announces-revised-share-issuance-date-for-locals-of-chitwan-district-and-nepalese-employed-abroad-2025-09-18
2025-09-14,SY Panel Nepal Limited Postpones Share Issuance for Locals of Chitwan District And Nepalese Employed Abroad,https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-postpones-share-issuance-for-locals-of-chitwan-district-and-nepalese-employed-abroad-2025-09-14
2025-09-07,SY Panel Nepal Limited Issuing IPO Shares to Locals of Chitwan District And Nepalese Employed Abroad From Bhadra 29,https://www.sharesansar.com/newsdetail/sy-panel-nepal-limited-issuing-ipo-shares-to-locals-of-chitwan-district-and-nepalese-employed-abroad-from-bhadra-29-2025-09-07
2025-09-03,IPO Proposal of SY Panel Nepal Limited Approved by SEBON,https://www.sharesansar.com/newsdetail/ipo-proposal-of-sy-panel-nepal-limited-approved-by-sebon-2025-09-03
2024-09-25,ICRA Nepal Reaffirms BB Issuer Rating for SY Panel Nepal Limited,https://www.sharesansar.com/newsdetail/icra-nepal-reaffirms-bb-issuer-rating-for-sy-panel-nepal-limited-2024-09-25
2023-10-11,"SEBON Adds IPO Proposals of These 6 Companies To Its Pipeline; 3 Each from Hydropower, 2 From Other and 1 from Manufacturing Sector",https://www.sharesansar.com/newsdetail/sebon-adds-ipo-proposals-of-these-6-companies-to-its-pipeline-3-each-from-hydropower-2-from-other-and-1-from-manufacturing-sector-2023-10-11
