S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-04,"1,474.00","1,484.00","1,435.00","1,468.00",-0.41,"20,099.00","29,225,312.30"
2,2026-02-03,"1,475.00","1,499.00","1,427.00","1,474.00",-0.54,"34,876.00","50,731,616.20"
3,2026-02-02,"1,537.40","1,537.40","1,441.00","1,482.00",-5.53,"52,269.00","76,854,715.30"
4,2026-02-01,"1,450.00","1,568.70","1,384.80","1,568.70",8.19,"43,300.00","61,366,113.60"
5,2026-01-29,"1,499.00","1,515.00","1,422.00","1,450.00",-2.36,"66,852.00","98,900,277.60"
6,2026-01-28,"1,519.80","1,519.80","1,426.00","1,485.00",-0.34,"65,991.00","96,097,510.50"
7,2026-01-27,"1,465.00","1,566.00","1,382.00","1,490.00",0.00,"72,463.00","108,218,609.00"
8,2026-01-26,"1,495.00","1,520.00","1,440.00","1,490.00",-0.33,"81,257.00","120,567,331.80"
9,2026-01-25,"1,333.00","1,496.00","1,333.00","1,495.00",9.93,"81,679.00","118,477,911.10"
10,2026-01-22,"1,309.00","1,362.00","1,307.00","1,360.00",4.21,"50,958.00","68,036,723.80"
11,2026-01-21,"1,264.20","1,341.30","1,264.20","1,305.00",1.16,"35,025.00","45,685,007.30"
12,2026-01-20,"1,250.00","1,295.00","1,250.00","1,290.00",3.20,"27,780.00","35,597,334.50"
13,2026-01-18,"1,225.00","1,259.90","1,223.30","1,250.00",1.55,"15,011.00","18,696,816.30"
14,2026-01-14,"1,228.00","1,284.80","1,222.00","1,230.90",-0.33,"10,168.00","12,524,322.10"
15,2026-01-13,"1,250.00","1,257.90","1,227.00","1,235.00",-0.40,"13,639.00","16,940,576.30"
16,2026-01-12,"1,218.00","1,252.90","1,216.00","1,240.00",1.14,"20,400.00","25,270,360.00"
17,2026-01-08,"1,230.00","1,240.00","1,221.10","1,226.00",-1.74,"9,157.00","11,263,204.20"
18,2026-01-07,"1,251.00","1,270.00","1,230.00","1,247.70",-0.34,"19,756.00","24,756,182.60"
19,2026-01-06,"1,275.10","1,297.00","1,252.00","1,252.00",-1.73,"21,383.00","27,330,660.30"
20,2026-01-05,"1,220.00","1,275.00","1,215.00","1,274.00",4.00,"36,693.00","46,159,073.90"
21,2026-01-04,"1,197.00","1,228.00","1,181.10","1,225.00",2.34,"15,078.00","18,172,284.00"
