S.N.,Name of Company,Symbol,ISIN,ISIN Type
150,National Life Insurance Company Limited Promoter share,NLICLP,NPE210A40008,Promoter Share
151,National Microfinance Laghubitta Bittiya Sanstha Limited,NMLBS,NPE284A00007,Ordinary Share
152,Naya Nepal Laghubitta Bikas Bank Limited,NNLB,NPE236A00007,Ordinary Share
153,Neco Insurance Limited,NIL,NPE207A00008,Ordinary Share
154,Neco Insurance Company Limited Promoter,NILPO,NPE207A40004,Promoter Share
155,Nepal Aawas Finance Limited,NABB,NPE140A00001,Ordinary Share
156,Nepal Aawas Finance Limited Promoter Share,NABBPO,NPE140A40007,Promoter Share
157,Nepal Bangladesh Bank Limited,NBB,NPE013A00000,Ordinary Share
158,Nepal Bangladesh Bank Promoter Share,NBBPO,NPE013A40006,Promoter Share
159,Nepal Bank Limited,NBL,NPE026A00002,Ordinary Share
160,Nepal Community Development Bank Limited,NCDB,NPE240A00009,Ordinary Share
161,Nepal Community Development Bank Ltd. Promoter Share,NCDBPO,NPE240A40005,Promoter Share
162,Nepal Credit and Commerce Bank Limited,NCCB,NPE027A00000,Ordinary Share
163,Nepal Credit and Commerce Bank Limited Promoter Share,NCCBPO,NPE027A40006,Promoter Share
164,Nepal Doorsanchar Company Limited,NTC,NPE190A00006,Ordinary Share
165,Grameen Bikas Laghubitta Bittiya Sanstha Limited,GBLBS,NPE230A00000,Ordinary Share
166,Grameen Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,GBLBSP,NPE230A40006,Promoter Share
167,Nepal Hydro Developer Limited,NHDL,NPE306A00008,Ordinary Share
168,Nepal Insurance Company Limited,NICL,NPE206A00000,Ordinary Share
169,Nepal Investment Bank Limited,NIB,NPE028A00008,Ordinary Share
170,Nepal Investment Bank Limited Promoter Share,NIBPO,NPE028A40004,Promoter Share
171,Nepal Life Insurance Company Limited,NLIC,NPE209A00004,Ordinary Share
172,Nepal Life Insurance Company Limited Promoter,NLICP,NPE209A40000,Promoter Share
173,Nepal SBI Bank Limited,SBI,NPE007A00002,Ordinary Share
174,Nepal SBI Bank Limited Promoter Share,SBIPO,NPE007A40008,Promoter Share
175,Nerude Laghubitta Bittiya Sanstha Limited,NLBBL,NPE081A00007,Ordinary Share
176,Ngadi Group Power Limited,NGPL,NPE282A00001,Ordinary Share
177,NIBL Pragati Fund,NIBLPF,NPE294A35002,Mutual Fund
178,NIBL Samriddhi Fund 1,NIBSF1,NPE257A35009,Mutual Fund
179,NIC Asia Bank Limited,NICA,NPE029A00006,Ordinary Share
180,NICA Bank Limited Promoter share,NICAP,NPE029A40002,Promoter Share
181,NIDC Development Bank Limited,NIDC,NPE080A00009,Ordinary Share
182,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,NPE082A00005,Ordinary Share
183,NLG Insurance Company Limited,NLG,NPE208A00006,Ordinary Share
184,NMB Bank Limited,NMB,NPE030A00012,Ordinary Share
185,NMB Bank Limited Promoter Share,NMBPO,NPE030A40018,Promoter Share
186,NMB Laghubitta Bittiya Sanstha Limited,NMBMF,NPE266A00004,Ordinary Share
187,NMB Sulav Investment Fund-1,NMBSF1,NPE264A35005,Mutual Fund
188,Om Development Bank Limited,ODBL,NPE047A00008,Ordinary Share
189,Om Development Bank Limited Promoter Share,ODBLPO,NPE047A40004,Promoter Share
190,Oriental Hotel Limited,OHL,NPE167A00004,Ordinary Share
191,Pokhara Finance Limited,PFL,NPE152A00006,Ordinary Share
192,Pokhara Finance Company Limited Promoter Share,PFLPO,NPE152A40002,Promoter Share
193,Prabhu Bank Limited,PRVU,NPE022A00001,Ordinary Share
194,Prabhu Bank Limited Promoter Share,PRVUPO,NPE022A40007,Promoter Share
195,Prabhu Insurance Company Limited,PRIN,NPE199A00007,Ordinary Share
196,Prabhu Insurance Company Limited Promoter Share,PRINPO,NPE199A40003,Promoter Share
197,Premier Insurance Company (Nepal) Limited,PIC,NPE211A00000,Ordinary Share
198,Prime Commercial Bank Limited,PCBL,NPE031A00002,Ordinary Share
199,Prime Commercial Bank Limited Promoter Share,PCBLP,NPE031A40008,Promoter Share
200,Prime Life Insurance Company Limited,PLIC,NPE010A00006,Ordinary Share
201,Prime Life Insurance Company Limited Promoter Share,PLICPO,NPE010A40002,Promoter Share
202,Progressive Finance Limited,PROFL,NPE154A00002,Ordinary Share
203,Progressive Finance Limited Promoter Share,PROFLP,NPE154A40008,Promoter Share
204,Prudential Insurance Company Limited,PICL,NPE212A00008,Ordinary Share
205,Prudential Insurance Company Limited Promoter Share,PICLPO,NPE212A40004,Promoter Share
206,Purnima Bikas Bank Limited,PURBL,NPE089A00000,Ordinary Share
207,Purnima Bikas Bank Limited Promoter Share,PURBLP,NPE089A40006,Promoter Share
208,Rastriya Beema Company Limited,RBCL,NPE213A00006,Ordinary Share
209,Rastriya Beema Company Limited Promoter Share,RBCLPO,NPE213A40002,Promoter Share
210,Reliance Finance Limited,RLFL,NPE224A00003,Ordinary Share
211,Reliance Lotus Finance Limited Promoter Share,RLFLPO,NPE224A40009,Promoter Share
212,Ridi Hydropower Development Company Limited,RHPC,NPE263A00001,Ordinary Share
213,RSDC Laghubitta Bittiya Sanstha Limited,RSDC,NPE286A00002,Ordinary Share
214,RMDC Laghubitta Bittiya Sanstha Limited,RMDC,NPE231A00008,Ordinary Share
215,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,RMDCPO,NPE231A40004,Promoter Share
216,Sagarmatha Insurance Company Limited,SIC,NPE214A00004,Ordinary Share
217,Sagarmatha Insurance Company Limited Promoter Share,SICPO,NPE214A40000,Promoter Share
218,Sahara Bikas Bank Limited,SHBL,NPE273A00000,Ordinary Share
219,Sahayogi Vikas Bank Limited,SBBLJ,NPE094A00000,Ordinary Share
220,Sahayogi Bikas Bank Limited Promoter Share,SBBLJP,NPE094A40006,Promoter Share
221,Salt Trading Corporation Limited,STC,NPE198A00009,Ordinary Share
222,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,NPE298A00007,Ordinary Share
223,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL,NPE233A00004,Ordinary Share
224,Sanima Bank Limited,SANIMA,NPE032A00000,Ordinary Share
225,Sanima Bank Limited Promoter Share,SNMAPO,NPE032A40006,Promoter Share
226,Sanima Mai Hydropower Limited,SHPC,NPE234A00002,Ordinary Share
227,Saptakoshi Development Bank Limited,SKDBL,NPE276A00003,Ordinary Share
228,Shangrila Development Bank Limited,SADBL,NPE093A00002,Ordinary Share
229,Shangrila Development Bank Limited Promoter Share,SADBLP,NPE093A40008,Promoter Share
230,Shikhar Insurance Company Limited,SICL,NPE006A00004,Ordinary Share
231,Shikhar Insurance Company Limited Promoter share,SICLPO,NPE006A40000,Promoter Share
232,Shine Resunga Development Bank Limited,SHINE,NPE097A00003,Ordinary Share
233,Shree Investment Finance Company Limited,SIFC,NPE159A00001,Ordinary Share
234,Shree Investment & Finance Company Limited Promoter share,SIFCPO,NPE159A40007,Promoter Share
235,Siddhartha Bank Limited,SBL,NPE009A00008,Ordinary Share
236,Siddhartha Bank Limited Promoter Share,SBLPO,NPE009A40004,Promoter Share
237,Siddhartha Equity Fund,SEF,NPE307A35002,Mutual Fund
238,Siddhartha Equity Oriented Scheme,SEOS,NPE272A35008,Mutual Fund
239,Siddhartha Insurance Limited,SIL,NPE008A00000,Ordinary Share
240,Siddhartha Insurance Limited Promoter Share,SILPO,NPE008A40006,Promoter Share
241,Siddhartha Investment Growth Scheme-1,SIGS1,NPE271A35000,Mutual Fund
242,Sindhu Bikas Bank Limited,SINDU,NPE232A00006,Ordinary Share
