symbol,current_price,tomorrow_price,rmse,mae,mape
ADBL,305.0,302.009033203125,6.006548991883798,4.0969905469372,1.321191385814262
API,305.0,305.1457824707031,4.233289907405292,3.3229914470251494,1.1828870551900044
BARUN,305.0,304.5888671875,5.070880500846478,1.951917955602145,0.4751978149263077
