Date,Headline,Logit,Prediction,Sentiment_Score
2024-12-10,NRB Report Highlights Commercial and Development Banks' Net Profits up to Kartik; NABIL Tops the Charts Once More,"[1.8441, -2.0401, -0.7321]",negative,-0.9118853211402893
2024-11-15,Commercial Banks Revise Mangsir Interest Rates; Machhapuchchhre Bank Leads with Significant Cuts,"[1.5106, -1.1996, -1.3767]",negative,-0.8910647034645081
2024-10-25,Comparative Analysis of First Quarter Reports of 20 Commercial Banks; Industry Accumulates An Average Profit of Rs. 81.16 Crores In Q1 FY 2081-82,"[-0.4082, -1.0371, 1.8955]",positive,0.8671848177909851
2024-10-23,"Commercial Banks Report 21.63% Rise in Net Profit for Q1 FY 2081/82; NABIL Leads, SBL Shows Highest Growth","[1.9976, -1.7133, -1.5263]",negative,-0.9488201141357422
2024-10-20,"NRB Report Highlights Commercial and Development Banks' Net Profits up to Bhadra; NABIL, MNBBL and ICFC Tops the Chart","[0.7312, -2.2586, 1.4833]",positive,0.6688686609268188
2024-10-16,Commercial Banks Unveil Kartik Interest Rate Adjustments: SANIMA Raises Rates While CZBIL and HBL Implements Significant Cut,"[1.0777, -1.8591, 0.1438]",negative,-0.691540002822876
2024-10-02,"ICRA Nepal Removes Agricultural Development Bank Limited from Negative Watch, Reaffirms Ratings","[0.8548, -1.7056, 0.0097]",negative,-0.6636607050895691
2024-09-18,NRB Publishes Net Profit Report for Shrawan: Global IME Bank and Shine Resunga Development Bank Lead Their Sectors,"[-0.8164, -1.2394, 2.4193]",positive,0.9388790130615234
2024-09-16,Commercial Banks Revise Ashwin Interest Rates; NMB Bank Leads with Significant Cuts,"[1.3603, -1.4143, -0.9089]",negative,-0.857793390750885
2024-09-08,Commercial Banks Reduce Base Interest Rates to 7.92% Amid Surplus Loanable Funds,"[-1.1462, 2.3513, -0.9806]",neutral,0.0
2024-08-16,Commercial Banks Reduce Interest Rates for Bhadra: NIC Asia and NMB Bank Lead with Highest Rates on Fixed Deposits,"[-1.0376, 1.1788, 0.6713]",neutral,0.0
2024-08-06,Unveiling Q4 2080/81: A Comprehensive Analysis of Leading Commercial Banks and Key Financial Insights,"[0.1153, -2.1690, 2.2324]",positive,0.8828920125961304
2024-08-05,"20 Commercial Banks Report Q4 FY 2080/81 Results: Nabil Bank Tops Profit Charts with Rs 7.06 Arba, Industry Total Hits Rs 64.15 Arba","[1.8408, -1.6523, -1.4046]",negative,-0.9351418018341064
2024-08-05,Agriculture Development Bank Doubles Net Profit with 176.23% Increase in Q4 With Rise in Net Interest Income; Distributable Profit at Rs 2.66 Arba,"[1.9464, -1.5706, -1.5375]",negative,-0.9430637955665588
2024-07-15,Commercial Banks Reduce Interest Rates for Shrawan; Himalayan Bank Leads with Significant Cuts,"[-0.6218, 1.7520, -1.0970]",neutral,0.0
2024-07-14,NRB Report Highlights Commercial and Development Banks' Net Profits up to Jestha; NABIL Tops the Charts Once More,"[1.8650, -2.0140, -0.8105]",negative,-0.9178155064582825
2024-06-14,Commercial Banks Announce New Interest Rates for Ashad: Mixed Adjustments with Slight Overall Decrease,"[0.6012, -0.9360, -0.5602]",negative,-0.6544489860534668
2024-06-12,NRB Reveals Net Profits of Commercial and Development Banks Till Baisakh; Nabil and Muktinath Bikas Bank Lead Their Sectors,"[-0.4425, -1.7651, 2.4494]",positive,0.934363067150116
2024-06-10,Online Banking Services Temporarily Suspended for System Upgrades,"[-1.8405, 2.5651, 0.2723]",neutral,0.0
2024-05-13,"Jestha Interest Rate Update: Most Banks Lower Rates, NIC Asia Bank and Global IME Bank Oppose the Trend with Increases","[-1.5615, 2.1861, 0.2471]",neutral,0.0
2024-04-23,Delving into Q3 2080/81: Performance Analysis of Leading Commercial Banks with Key Financial Insights,"[0.2232, -1.9574, 1.9950]",positive,0.8408732414245605
2024-04-14,"Baisakh Interest Rate Update: 13 Commercial Banks Cut Rates, NMB and Everest Stand Apart with Increases","[-1.2527, 2.0823, -0.4837]",neutral,0.0
