,product,price,url
10,"Dell 15, 13th Generation Intel Core i5-1334U Processor, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm Display, Windows 11, MSO'24, Silver, 1.62kg, Backlit Keyboard, 15 Month McAfee, Thin & Light Laptop","58,490",https://amazon.in/sspa/click?ie=UTF8&spc=MToyODY2Mzg3MzU0OTMxNjg0OjE3Njc5NjUzODg6c3BfYXRmX25leHQ6MzAwNTExNzI0OTM5MDMyOjowOjo&url=%2FDell-Generation-i5-1334U-Processor-Keyboard%2Fdp%2FB0DSFQZTVW%2Fref%3Dsr_1_65_sspa%3Fcrid%3D36J9ALSSSWK1Y%26dib%3DeyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1767965388%26sprefix%3Dlapto%252Caps%252C456%26sr%3D8-65-spons%26aref%3DhblGNX1gro%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=hblGNX1gro&sp_cr=ZAZ
11,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","40,990",https://amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_6?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSo00qcZgNz0-dKfJPbj0YzONIYbFwI7z44gFYffhkNaW3CPzvL3Gwx8FJvUL6NX9HuD70_-KX-A-O7PJKUZ-gWOUvYjYdjWpEeE32Y1eE7pdPrYy7KjFg8JWwLlSDn4_QKEt45vBjVoJZc5EdCu6Qu-Az1jFDYldz3QeueJtE-YBIEdMskCXp_hBXWEr6dLPgBL1vF0LQhkM0XIm090aKDRY.gwHrAhcFnBsSE6SIWbTy5ebOdQ95J8cm-WchQA9h40M&dib_tag=se&keywords=laptop&qid=1767965366&sprefix=lapto%2Caps%2C456&sr=8-6
12,"Dell 15 Laptop, 14th Gen Intel Core 3 100U Processor, 8GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","37,490",https://amazon.in/sspa/click?ie=UTF8&spc=MToyODY2Mzg3MzU0OTMxNjg0OjE3Njc5NjUzODg6c3BfYXRmX25leHQ6MzAwODQxMzIwNDMyMDMyOjowOjo&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_66_sspa%3Fcrid%3D36J9ALSSSWK1Y%26dib%3DeyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1767965388%26sprefix%3Dlapto%252Caps%252C456%26sr%3D8-66-spons%26aref%3DDQkCYWuCEn%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=DQkCYWuCEn&sp_cr=ZAZ
13,"HP Laptop 14, Intel Core i5-1335U, 14-inch(35.6 cm),FHD,Anti-Glare,16GB DDR4,512GB SSD,Intel Iris X Graphics, Imagepad,Dual Speakers, Windows 11,MSO,Silver,1.4 kg, 14-gr0001TU","55,900",https://amazon.in/HP-i5-1335U-Anti-Glare-Graphics-gr0001TU/dp/B0D9JVGP6P/ref=sr_1_67?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk&dib_tag=se&keywords=laptop&qid=1767965388&sprefix=lapto%2Caps%2C456&sr=8-67
14,"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS","1,02,990",https://amazon.in/ASUS-7445HS-4050-6GB-Windows-FA607NUG-RL189WS/dp/B0FM38SKN8/ref=sr_1_68?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk&dib_tag=se&keywords=laptop&qid=1767965388&sprefix=lapto%2Caps%2C456&sr=8-68
15,"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA07QIH","47,999",https://amazon.in/Lenovo-V15-i5-1235U-Windows-82TTA07QIH/dp/B0DDY2JQLQ/ref=sr_1_69?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk&dib_tag=se&keywords=laptop&qid=1767965388&sprefix=lapto%2Caps%2C456&sr=8-69
16,"HP 14, Intel Core Ultra 7 155H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1181TU, FHD Camera, Backlit Laptop","84,500",https://amazon.in/HP-Micro-Edge-Anti-Glare-Office24-ep1181TU/dp/B0G2BFPNVJ/ref=sr_1_70?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk&dib_tag=se&keywords=laptop&qid=1767965388&sprefix=lapto%2Caps%2C456&sr=8-70
17,"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver, 1.59kg, FD0552TU, Iris Xe, FHD Camera w/Shutter, Backlit Laptop","57,990",https://amazon.in/HP-i5-1334U-Anti-Glare-Micro-Edge-FD0552TU/dp/B0F671GG5M/ref=sr_1_7?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.VZ_alNzkt8TbfpXEQ6aSo00qcZgNz0-dKfJPbj0YzONIYbFwI7z44gFYffhkNaW3CPzvL3Gwx8FJvUL6NX9HuD70_-KX-A-O7PJKUZ-gWOUvYjYdjWpEeE32Y1eE7pdPrYy7KjFg8JWwLlSDn4_QKEt45vBjVoJZc5EdCu6Qu-Az1jFDYldz3QeueJtE-YBIEdMskCXp_hBXWEr6dLPgBL1vF0LQhkM0XIm090aKDRY.gwHrAhcFnBsSE6SIWbTy5ebOdQ95J8cm-WchQA9h40M&dib_tag=se&keywords=laptop&qid=1767965366&sprefix=lapto%2Caps%2C456&sr=8-7
18,Ultimus Pentium Quad Core Laptop|Dual Storage eMMC+SSD Expandable~1TB|1.2Kg|180Â° Hinge|Win 11 Home|4GB RAM 128GB|Ultra-Thin Bezel|2.0x1 3.0x1 USB HDMI SD Card Slot | â€ŽDual Speaker|Cloud Silver,"12,990",https://amazon.in/Ultimus-Pentium-Storage-Expandable-1TB-Ultra-Thin/dp/B0FKM5KW4R/ref=sr_1_71?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk&dib_tag=se&keywords=laptop&qid=1767965388&sprefix=lapto%2Caps%2C456&sr=8-71
19,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","38,999",https://amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_72?crid=36J9ALSSSWK1Y&dib=eyJ2IjoiMSJ9.4FTJqIXCEIUZLRSWPL4WbJOAcA_PIaFIRkeYoEnkduqPHOEpP04t5qyFYy-Ab9l7CTQOW12MQsC3my50TBFolFB4ESZSOVGB7KYVziu9jbe3QBrrcPzCZ7DqTLWGDLk5-qbAFqW07VAEZq7KS43FCy09BYt8Xbk6gFBSwZSvG0-g4_1QmPZ50HfTnAa1NtfFSNw0McuOU__6wSpQVSszJWF3p0lms5zSaqvPPwPgY-E.yWgMJ-o_yur6IK4uq58GHK4NDxDoQtgzc6gismT4bfk&dib_tag=se&keywords=laptop&qid=1767965388&sprefix=lapto%2Caps%2C456&sr=8-72
